customer_id,credit_score,country,gender,age,tenure,balance,products_number,credit_card,active_member,estimated_salary,churn
15798024,537,Germany,Male,84,8,92242.34,1,1,1,186235.98,0
15806913,670,France,Female,54,2,95507.12,1,1,1,63213.31,0
15664849,573,Spain,Male,46,3,65269.23,1,0,1,189988.65,1
15586752,628,Germany,Male,33,8,152143.89,1,1,1,32174.03,0
15755642,667,France,Male,34,5,0.0,2,1,1,102908.63,0
15616922,479,France,Female,26,1,0.0,2,1,1,19116.97,0
15744942,638,Spain,Female,55,2,155828.22,1,0,1,108987.25,1
15604782,733,Germany,Female,33,7,187257.94,1,0,1,190430.81,0
15647292,697,France,Male,63,7,148368.02,1,0,0,118862.08,1
15622897,646,France,Female,46,4,0.0,3,1,0,93251.42,1
15719265,589,France,Male,46,9,0.0,2,1,0,170676.67,0
15708867,684,Spain,Female,38,3,134168.5,3,1,0,3966.5,1
15611759,850,Spain,Female,57,8,126776.3,2,1,1,132298.49,0
15773591,787,France,Male,46,7,117685.31,2,1,1,93360.35,0
15673837,617,Spain,Male,61,3,113858.95,1,1,1,38129.22,0
15644856,556,Spain,Male,38,2,115463.16,1,1,0,150679.65,0
15775803,841,Spain,Male,41,1,0.0,2,0,1,193093.77,0
15631339,791,France,Male,28,4,0.0,1,1,0,174435.48,0
15811742,553,Spain,Male,42,7,0.0,2,1,0,7680.23,0
15634146,835,Germany,Male,18,2,142872.36,1,1,1,117632.63,0
15566891,584,Germany,Female,41,3,88594.93,1,1,0,178997.89,0
15750684,719,France,Female,42,4,0.0,1,1,0,28465.86,1
15734005,633,France,Female,42,1,0.0,2,1,0,56865.62,0
15669664,574,Germany,Male,54,1,99774.5,1,0,0,4896.11,1
15748691,794,Spain,Female,30,1,154970.54,1,0,1,156768.45,0
15765532,612,Germany,Male,76,6,96166.88,1,1,1,191393.26,0
15583212,600,France,Female,43,5,134022.06,1,1,0,194764.83,0
15674720,691,Germany,Female,37,7,123067.63,1,1,1,98162.44,1
15617401,468,France,Male,22,2,0.0,2,1,0,28123.99,0
15593900,705,France,Male,38,1,189443.72,1,0,1,106648.58,0
15593331,693,Germany,Male,25,6,146580.69,1,0,1,14633.35,0
15684171,660,Spain,Female,61,5,155931.11,1,1,1,158338.39,0
15610337,666,Spain,Male,35,2,104832.49,1,1,0,175015.12,0
15665460,732,Spain,Female,67,1,0.0,2,1,1,177783.04,0
15699550,695,Spain,Female,34,9,0.0,2,1,1,67502.12,0
15654625,495,Germany,Male,39,8,120252.02,2,1,1,10160.23,0
15764448,837,Germany,Male,35,0,144037.6,1,1,0,145325.32,0
15734917,708,Germany,Male,21,8,133974.36,2,1,0,50294.09,0
15814237,627,Germany,Male,30,3,128770.88,2,1,1,40199.01,0
15684319,780,Germany,Female,37,10,95196.26,1,1,0,126310.39,1
15642202,821,Germany,Female,37,5,106453.53,2,0,1,127413.0,0
15599124,832,France,Female,29,5,0.0,2,1,0,178779.52,0
15657163,623,Germany,Male,42,1,149332.48,2,1,0,100834.22,0
15702298,655,Germany,Male,41,8,125561.97,1,0,0,164040.94,1
15706587,560,France,Male,57,0,0.0,2,0,1,116781.71,0
15685640,649,France,Female,41,3,130931.83,1,1,1,144808.37,0
15755405,710,France,Male,43,9,128284.45,1,1,0,32996.89,1
15598695,834,Germany,Female,68,9,130169.27,2,0,1,93112.2,0
15572728,704,Spain,Male,36,8,127397.34,1,1,0,151335.24,0
15634143,581,Spain,Male,30,0,53291.86,1,0,0,196582.28,0
15800229,695,Germany,Male,40,7,139022.24,1,0,1,193383.13,0
15738318,800,France,Female,40,5,97764.41,1,1,0,98640.15,1
15786035,740,France,Male,39,9,0.0,2,1,0,19047.23,0
15662426,649,Spain,Male,32,1,0.0,1,0,1,91167.19,1
15686461,558,France,Female,56,7,121235.05,2,1,1,116253.1,0
15795290,767,France,Female,42,2,133616.39,1,1,0,28615.8,0
15761886,740,France,Male,36,4,172381.8,1,1,1,86480.29,0
15605263,552,France,Male,33,5,140931.57,1,0,1,10921.5,0
15778418,637,Germany,Male,40,9,154309.67,1,1,1,125334.16,1
15704651,514,France,Male,26,1,0.0,2,0,0,121551.93,0
15667751,487,Spain,Female,36,1,140137.15,1,1,0,194073.33,0
15754177,712,Spain,Male,53,2,111061.01,2,0,0,26542.17,0
15669994,556,Germany,Female,31,1,128663.81,2,1,0,125083.29,0
15725811,705,France,Male,25,0,97544.29,1,0,1,59887.15,0
15794792,612,France,Female,31,8,117989.76,1,1,1,54129.86,0
15672970,714,Spain,Male,20,3,0.0,2,0,1,150465.93,0
15572398,614,Spain,Female,39,6,0.0,2,1,1,164018.98,0
15759717,763,Spain,Female,39,7,0.0,2,1,0,19458.75,0
15679928,592,France,Female,31,2,84102.11,2,0,1,116385.24,0
15607713,850,Spain,Female,29,1,0.0,2,1,1,197996.65,0
15795527,699,Spain,Male,43,2,136487.86,2,1,0,82815.93,0
15757648,683,Germany,Female,35,5,95698.79,1,0,1,182566.76,0
15575694,729,Spain,Female,45,7,91091.06,2,1,0,71133.12,0
15769829,534,Spain,Male,51,3,0.0,2,0,1,20856.31,0
15628530,694,France,Male,42,3,156864.2,2,0,0,88890.75,0
15745844,642,Germany,Female,40,6,129502.49,2,0,1,86099.23,1
15694566,602,France,Female,42,10,0.0,2,0,0,169921.11,1
15791111,635,France,Female,47,2,125724.95,2,1,0,63236.97,0
15813444,590,Spain,Female,34,6,0.0,2,1,0,171021.44,0
15801296,634,Germany,Female,37,7,143258.85,2,1,0,192721.98,0
15575623,589,France,Female,31,10,110635.32,1,1,0,148218.86,0
15786063,776,France,Female,31,2,0.0,2,1,1,112349.51,0
15793042,629,France,Male,39,2,129669.32,2,1,0,82774.07,0
15621818,747,Germany,Male,29,7,117726.33,1,1,1,175398.34,0
15626156,655,France,Female,60,3,0.0,2,1,1,86981.45,0
15639669,746,France,Male,36,9,127157.04,1,1,1,155700.15,0
15616152,754,France,Female,47,1,185513.67,1,1,0,27438.83,0
15791972,748,France,Female,20,7,0.0,2,0,0,10792.42,0
15795690,667,France,Male,31,3,99513.91,1,1,1,189657.26,0
15786643,602,France,Male,32,10,0.0,2,1,1,116052.92,0
15804962,606,France,Male,36,1,155655.46,1,1,1,192387.51,1
15737071,639,France,Female,60,5,162039.78,1,1,1,84361.72,1
15765192,564,France,Male,26,7,84006.88,2,0,0,183490.99,0
15650437,522,Germany,Male,32,8,124450.36,2,1,1,165786.1,0
15739223,688,Spain,Female,24,3,0.0,2,1,1,102195.16,0
15799494,850,Germany,Male,44,3,140393.65,2,0,1,186285.52,0
15715643,662,France,Male,44,8,0.0,2,1,1,175314.87,0
15761047,724,Germany,Male,31,2,160997.54,2,0,1,64831.36,0
15701166,660,France,Male,40,5,131754.11,2,1,1,38761.61,0
15666916,639,France,Male,43,6,99610.92,2,1,0,187296.78,0
15633854,654,France,Female,40,3,0.0,2,1,0,167889.1,0
15714046,720,Spain,Male,33,3,123783.91,2,1,1,142903.44,0
15754940,597,Spain,Male,43,2,85162.26,1,0,1,5104.08,1
15808566,516,France,Male,46,2,0.0,2,1,1,169122.54,0
15651144,632,Germany,Female,35,2,150561.03,2,0,0,64722.61,0
15643215,602,Germany,Male,38,2,71667.97,2,0,0,137111.89,0
15608226,513,Spain,Male,72,3,98903.06,1,1,1,81251.24,0
15634564,593,Spain,Male,31,8,112713.34,1,1,1,176868.89,0
15672499,635,France,Male,34,3,134692.4,2,1,1,83773.02,0
15624820,683,Spain,Male,56,7,50911.21,3,0,0,97629.31,1
15768387,581,France,Male,41,8,0.0,2,0,0,29737.14,0
15599289,724,France,Female,37,10,68598.56,1,1,0,157862.82,0
15591711,739,Spain,Male,38,0,128366.44,1,1,0,12796.43,0
15698324,725,France,Female,33,4,0.0,1,1,1,67879.8,0
